No,OWNER, ADDER,경도,위도,상태
1,1,대구광역시 서구 달구벌대로 1807 튼튼병원,128.562428808126,35.8598999491595,정좌표
2,2,대구광역시 서구 내당동 1290 광장코아 ,128.560347743737,35.8591365525844,정좌표
3,3,대구광역시 서구 국채보상로 250-1 서구청 ,128.558369507181,35.8709191071901,정좌표
4,4,대구광역시 서구 국채보상로 257 구청 ,128.559289496989,35.8723219470535,정좌표
5,5,대구광역시 서구 국채보상로 257 구청 ,128.559289496989,35.8723219470535,정좌표
6,6,대구광역시 서구 평리동 1621-12  대구은행서구청출장소 ,128.557068482611,35.8734218668531,정좌표
7,7,대구광역시 서구 서대구로 156 로또명가 ,128.555199377046,35.8718993204722,정좌표
8,8,대구광역시 서구 염색공단로 21 비산7동 지구대 ,128.553506373076,35.8881434208753,정좌표
9,9,대구광역시 서구 서대구로 295 북부정류장 안 외국인 쉼터,128.555131730611,35.8852824662317,정좌표
10,10,대구광역시 서구 팔달로 54 이마트트레이더스 버스승강장,128.555963075685,35.88990468582,정좌표
11,11,대구광역시 서구 국채보상로 117 이현지구대 ,128.543960434192,35.8690549906631,정좌표
12,12,대구광역시 서구 원대로13길 2 금류타운 승강장 ,128.580577241706,35.8829634290297,정좌표
